contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250428P05480000,2025-04-28 19:59:15+00:00,5528.75,25.149999618530273,5480.0,0.05,0.0,0.05,-14.45,-99.655174,42997.0,431,0.06958938232421877,False,REGULAR,USD
SPXW250428P05485000,2025-04-28 19:58:54+00:00,5528.75,25.149999618530273,5485.0,0.05,0.0,0.05,-16.45,-99.696976,30854.0,259,0.06324178955078125,False,REGULAR,USD
SPXW250428P05490000,2025-04-28 19:59:27+00:00,5528.75,25.149999618530273,5490.0,0.05,0.0,0.05,-17.54,-99.71575,38021.0,380,0.05689419677734375,False,REGULAR,USD
SPXW250428P05495000,2025-04-28 19:59:27+00:00,5528.75,25.149999618530273,5495.0,0.03,0.0,0.05,-19.07,-99.84293,30935.0,402,0.0503024658203125,False,REGULAR,USD
SPXW250428P05500000,2025-04-28 19:59:31+00:00,5528.75,25.149999618530273,5500.0,0.03,0.0,0.05,-19.67,-99.84771,52366.0,1111,0.043710734863281246,False,REGULAR,USD
SPXW250428P05505000,2025-04-28 19:59:27+00:00,5528.75,25.149999618530273,5505.0,0.03,0.0,0.05,-21.66,-99.86169,25857.0,264,0.037119003906249996,False,REGULAR,USD
SPXW250428P05510000,2025-04-28 19:59:22+00:00,5528.75,25.149999618530273,5510.0,0.02,0.0,0.05,-25.279999,-99.92095,30500.0,460,0.030283134765625,False,REGULAR,USD
SPXW250428P05515000,2025-04-28 19:59:31+00:00,5528.75,25.149999618530273,5515.0,0.03,0.0,0.05,-25.24,-99.88128,28642.0,202,0.02320312744140625,False,REGULAR,USD
SPXW250428P05520000,2025-04-28 19:59:53+00:00,5528.75,25.149999618530273,5520.0,0.05,0.0,0.05,-27.76,-99.82021,31853.0,281,0.01587898193359375,False,REGULAR,USD
SPXW250428P05525000,2025-04-28 19:59:59+00:00,5528.75,25.149999618530273,5525.0,0.05,0.0,0.05,-30.050001,-99.833885,24018.0,240,0.007944490966796877,False,REGULAR,USD
SPXW250428P05530000,2025-04-28 19:59:59+00:00,5528.75,25.149999618530273,5530.0,0.9,0.9,1.0,-31.199999,-97.196266,25231.0,160,1.0000000000000003e-05,True,REGULAR,USD
SPXW250428P05535000,2025-04-28 19:59:59+00:00,5528.75,25.149999618530273,5535.0,6.0,5.6,6.0,-28.380001,-82.54799,17393.0,68,1.0000000000000003e-05,True,REGULAR,USD
SPXW250428P05540000,2025-04-28 19:59:58+00:00,5528.75,25.149999618530273,5540.0,10.9,10.5,11.8,-26.31,-70.7068,7648.0,126,0.03281606842041016,True,REGULAR,USD
SPXW250428P05545000,2025-04-28 19:59:37+00:00,5528.75,25.149999618530273,5545.0,15.5,15.1,16.9,-24.0,-60.759495,4793.0,52,0.04474832214355469,True,REGULAR,USD
SPXW250428P05550000,2025-04-28 19:59:58+00:00,5528.75,25.149999618530273,5550.0,20.9,19.9,22.2,-24.640001,-54.106285,16991.0,181,0.060312131347656256,True,REGULAR,USD
SPXW250428P05555000,2025-04-28 19:59:37+00:00,5528.75,25.149999618530273,5555.0,24.7,24.9,29.1,-20.599998,-45.47461,1343.0,134,0.09952682708740235,True,REGULAR,USD
SPXW250428P05560000,2025-04-28 19:59:34+00:00,5528.75,25.149999618530273,5560.0,29.8,24.8,34.1,-18.440002,-38.225544,1334.0,76,0.11115390808105467,True,REGULAR,USD
SPXW250428P05565000,2025-04-28 19:59:34+00:00,5528.75,25.149999618530273,5565.0,34.8,29.8,39.1,-16.830002,-32.597332,639.0,16,0.12241478179931642,True,REGULAR,USD
SPXW250428P05570000,2025-04-28 19:59:34+00:00,5528.75,25.149999618530273,5570.0,39.9,38.2,44.1,-14.98,-27.295918,986.0,387,0.13340100006103517,True,REGULAR,USD
SPXW250428P05575000,2025-04-28 19:58:44+00:00,5528.75,25.149999618530273,5575.0,44.9,43.2,49.1,-13.599998,-23.247862,945.0,104,0.14414308013916016,True,REGULAR,USD
