contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250310P05565000,2025-03-10 19:58:39+00:00,5614.56005859375,27.860000610351562,5565.0,0.05,0.0,0.05,-0.7,-93.333336,35978.0,538,0.06958938232421877,False,REGULAR,USD
SPXW250310P05570000,2025-03-10 19:59:10+00:00,5614.56005859375,27.860000610351562,5570.0,0.03,0.0,0.05,-0.82000005,-96.4706,54451.0,1599,0.063485927734375,False,REGULAR,USD
SPXW250310P05575000,2025-03-10 19:59:06+00:00,5614.56005859375,27.860000610351562,5575.0,0.03,0.0,0.05,-0.97,-97.0,59186.0,1139,0.05713833496093751,False,REGULAR,USD
SPXW250310P05580000,2025-03-10 19:58:32+00:00,5614.56005859375,27.860000610351562,5580.0,0.03,0.0,0.05,-0.97,-97.0,50740.0,1290,0.0507907421875,False,REGULAR,USD
SPXW250310P05585000,2025-03-10 19:59:49+00:00,5614.56005859375,27.860000610351562,5585.0,0.05,0.0,0.05,-1.1,-95.652176,45815.0,330,0.044199011230468745,False,REGULAR,USD
SPXW250310P05590000,2025-03-10 19:59:58+00:00,5614.56005859375,27.860000610351562,5590.0,0.05,0.0,0.05,-1.25,-96.15385,61503.0,1414,0.0376072802734375,False,REGULAR,USD
SPXW250310P05595000,2025-03-10 19:59:59+00:00,5614.56005859375,27.860000610351562,5595.0,0.03,0.0,0.05,-1.52,-98.06452,38665.0,833,0.030893480224609377,False,REGULAR,USD
SPXW250310P05600000,2025-03-10 19:59:59+00:00,5614.56005859375,27.860000610351562,5600.0,0.03,0.0,0.05,-1.52,-98.06452,93555.0,4484,0.024057611083984378,False,REGULAR,USD
SPXW250310P05605000,2025-03-10 19:59:59+00:00,5614.56005859375,27.860000610351562,5605.0,0.05,0.0,0.1,-1.7,-97.14286,32642.0,547,0.019052778320312505,False,REGULAR,USD
SPXW250310P05610000,2025-03-10 19:59:59+00:00,5614.56005859375,27.860000610351562,5610.0,0.25,0.1,0.35,-1.95,-88.63636,35497.0,858,0.015085532836914065,False,REGULAR,USD
SPXW250310P05615000,2025-03-10 19:59:59+00:00,5614.56005859375,27.860000610351562,5615.0,0.85,0.85,1.3,-1.35,-61.363636,26176.0,477,0.009104147338867186,True,REGULAR,USD
SPXW250310P05620000,2025-03-10 19:59:59+00:00,5614.56005859375,27.860000610351562,5620.0,5.51,4.3,7.1,3.1100001,129.58333,29918.0,797,0.032175205688476566,True,REGULAR,USD
SPXW250310P05625000,2025-03-10 19:59:57+00:00,5614.56005859375,27.860000610351562,5625.0,11.12,9.3,12.2,8.34,300.00003,26662.0,1253,0.04657935852050782,True,REGULAR,USD
SPXW250310P05630000,2025-03-10 19:59:56+00:00,5614.56005859375,27.860000610351562,5630.0,14.5,13.9,17.5,11.4,367.74188,22545.0,1311,0.062509375,True,REGULAR,USD
SPXW250310P05635000,2025-03-10 19:59:45+00:00,5614.56005859375,27.860000610351562,5635.0,20.97,18.7,23.2,17.349998,479.28162,16725.0,385,0.08309327560424806,True,REGULAR,USD
SPXW250310P05640000,2025-03-10 19:59:21+00:00,5614.56005859375,27.860000610351562,5640.0,30.65,23.0,28.2,26.65,666.25,19261.0,681,0.09497975341796877,True,REGULAR,USD
SPXW250310P05645000,2025-03-10 19:59:09+00:00,5614.56005859375,27.860000610351562,5645.0,38.4,27.4,33.2,34.100002,793.02344,13657.0,455,0.10642373077392578,True,REGULAR,USD
SPXW250310P05650000,2025-03-10 19:58:19+00:00,5614.56005859375,27.860000610351562,5650.0,40.6,32.4,38.2,35.76,738.8429,28396.0,3181,0.1175015008544922,True,REGULAR,USD
SPXW250310P05655000,2025-03-10 19:58:42+00:00,5614.56005859375,27.860000610351562,5655.0,44.8,37.4,43.2,39.5,745.28314,12096.0,654,0.1283046154785156,True,REGULAR,USD
SPXW250310P05660000,2025-03-10 19:57:40+00:00,5614.56005859375,27.860000610351562,5660.0,46.88,49.8,55.7,40.98,694.5761,14599.0,1774,0.2305832557678223,True,REGULAR,USD
