contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250310C05725000,2025-03-07 21:14:49+00:00,5770.2001953125,23.3700008392334,5725.0,60.46,59.3,60.4,60.46,,681.0,60,0.1943592527770996,True,REGULAR,USD
SPXW250310C05730000,2025-03-07 21:07:47+00:00,5770.2001953125,23.3700008392334,5730.0,55.4,55.9,57.0,-16.299995,-22.733606,910.0,86,0.1948475291442871,True,REGULAR,USD
SPXW250310C05735000,2025-03-07 21:05:30+00:00,5770.2001953125,23.3700008392334,5735.0,53.02,52.5,53.6,53.02,,1016.0,134,0.19460339096069335,True,REGULAR,USD
SPXW250310C05740000,2025-03-07 21:04:40+00:00,5770.2001953125,23.3700008392334,5740.0,48.1,49.3,50.4,-17.489998,-26.66565,2223.0,126,0.19493908096313478,True,REGULAR,USD
SPXW250310C05745000,2025-03-07 21:14:09+00:00,5770.2001953125,23.3700008392334,5745.0,46.56,46.2,47.2,-14.699997,-23.996077,712.0,131,0.19457287368774412,True,REGULAR,USD
SPXW250310C05750000,2025-03-07 21:12:09+00:00,5770.2001953125,23.3700008392334,5750.0,42.7,43.2,44.1,-16.7,-28.11448,4839.0,182,0.1941151145935059,True,REGULAR,USD
SPXW250310C05755000,2025-03-07 21:14:44+00:00,5770.2001953125,23.3700008392334,5755.0,41.11,40.3,41.1,41.11,,1146.0,109,0.19358106231689454,True,REGULAR,USD
SPXW250310C05760000,2025-03-07 21:14:53+00:00,5770.2001953125,23.3700008392334,5760.0,38.6,37.4,38.2,-17.100002,-30.700184,4349.0,91,0.19293257026672364,True,REGULAR,USD
SPXW250310C05765000,2025-03-07 21:14:55+00:00,5770.2001953125,23.3700008392334,5765.0,36.0,34.7,35.5,36.0,,1437.0,201,0.1927723545837402,True,REGULAR,USD
SPXW250310C05770000,2025-03-07 21:14:54+00:00,5770.2001953125,23.3700008392334,5770.0,33.17,32.0,32.8,33.17,,2638.0,76,0.19189498298645022,True,REGULAR,USD
SPXW250310C05775000,2025-03-07 21:15:30+00:00,5770.2001953125,23.3700008392334,5775.0,29.98,29.5,30.3,29.98,,2473.0,113,0.19148299980163577,False,REGULAR,USD
SPXW250310C05780000,2025-03-07 21:13:41+00:00,5770.2001953125,23.3700008392334,5780.0,27.4,27.1,27.9,27.4,,1492.0,155,0.19094131820678711,False,REGULAR,USD
SPXW250310C05785000,2025-03-07 21:13:51+00:00,5770.2001953125,23.3700008392334,5785.0,24.82,24.8,25.5,-16.220001,-39.52242,1466.0,90,0.18967485137939455,False,REGULAR,USD
SPXW250310C05790000,2025-03-07 21:14:51+00:00,5770.2001953125,23.3700008392334,5790.0,23.38,22.6,23.3,-16.980001,-42.07136,1142.0,174,0.18885088500976563,False,REGULAR,USD
SPXW250310C05795000,2025-03-07 21:14:53+00:00,5770.2001953125,23.3700008392334,5795.0,21.4,20.5,21.2,21.4,,812.0,186,0.1878895909118652,False,REGULAR,USD
SPXW250310C05800000,2025-03-07 21:14:53+00:00,5770.2001953125,23.3700008392334,5800.0,19.3,18.6,19.3,19.3,,9587.0,1939,0.18740894386291504,False,REGULAR,USD
SPXW250310C05805000,2025-03-07 21:14:32+00:00,5770.2001953125,23.3700008392334,5805.0,17.4,16.7,17.4,17.4,,1504.0,128,0.18616536499023437,False,REGULAR,USD
SPXW250310C05810000,2025-03-07 21:12:50+00:00,5770.2001953125,23.3700008392334,5810.0,14.8,15.0,15.6,14.8,,1355.0,228,0.18476157043457028,False,REGULAR,USD
SPXW250310C05815000,2025-03-07 21:14:54+00:00,5770.2001953125,23.3700008392334,5815.0,14.1,13.4,14.0,-16.5,-53.92157,1326.0,123,0.18387656951904296,False,REGULAR,USD
SPXW250310C05820000,2025-03-07 21:14:38+00:00,5770.2001953125,23.3700008392334,5820.0,12.11,11.9,12.5,-17.07,-58.498974,2252.0,463,0.18288475814819333,False,REGULAR,USD
