contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250606C05955000,2025-06-06 19:59:47+00:00,6000.35986328125,16.770000457763672,5955.0,46.0,44.3,46.9,26.22,132.55814,935.0,1083,0.11057407989501952,True,REGULAR,USD
SPXW250606C05960000,2025-06-06 19:59:55+00:00,6000.35986328125,16.770000457763672,5960.0,40.8,39.4,41.3,22.3,120.54054,1498.0,993,0.08948664428710937,True,REGULAR,USD
SPXW250606C05965000,2025-06-06 19:50:39+00:00,6000.35986328125,16.770000457763672,5965.0,35.43,31.8,36.4,20.03,130.06494,2661.0,1089,0.0829864651489258,True,REGULAR,USD
SPXW250606C05970000,2025-06-06 19:59:49+00:00,6000.35986328125,16.770000457763672,5970.0,29.4,29.8,31.9,15.9,117.77778,4227.0,1611,0.08268129241943362,True,REGULAR,USD
SPXW250606C05975000,2025-06-06 19:59:49+00:00,6000.35986328125,16.770000457763672,5975.0,25.7,24.6,26.3,14.1,121.55172,5005.0,4224,0.06318075500488281,True,REGULAR,USD
SPXW250606C05980000,2025-06-06 19:59:47+00:00,6000.35986328125,16.770000457763672,5980.0,20.8,19.7,21.1,10.699999,105.940575,9778.0,2397,0.05042453491210938,True,REGULAR,USD
SPXW250606C05985000,2025-06-06 19:59:57+00:00,6000.35986328125,16.770000457763672,5985.0,14.6,14.6,16.6,6.0,69.76744,13075.0,1739,0.04842565353393555,True,REGULAR,USD
SPXW250606C05990000,2025-06-06 19:59:51+00:00,6000.35986328125,16.770000457763672,5990.0,11.0,9.9,11.9,3.5,46.666668,24169.0,1500,0.041070990753173824,True,REGULAR,USD
SPXW250606C05995000,2025-06-06 19:59:53+00:00,6000.35986328125,16.770000457763672,5995.0,5.73,5.2,6.0,-0.8200002,-12.519086,31077.0,2707,0.019449502868652345,True,REGULAR,USD
SPXW250606C06000000,2025-06-06 20:00:00+00:00,6000.35986328125,16.770000457763672,6000.0,1.0,1.0,1.05,-4.35,-81.30841,86402.0,8582,0.0068458691406250004,True,REGULAR,USD
SPXW250606C06005000,2025-06-06 20:00:00+00:00,6000.35986328125,16.770000457763672,6005.0,0.05,0.0,0.05,-4.45,-98.888885,86528.0,2085,0.008676905517578125,False,REGULAR,USD
SPXW250606C06010000,2025-06-06 19:59:56+00:00,6000.35986328125,16.770000457763672,6010.0,0.03,0.0,0.05,-3.77,-99.210526,126206.0,2638,0.01587898193359375,False,REGULAR,USD
SPXW250606C06015000,2025-06-06 19:59:36+00:00,6000.35986328125,16.770000457763672,6015.0,0.05,0.0,0.05,-3.25,-98.48485,98798.0,1603,0.022470712890625,False,REGULAR,USD
SPXW250606C06020000,2025-06-06 19:59:11+00:00,6000.35986328125,16.770000457763672,6020.0,0.03,0.0,0.05,-2.64,-98.8764,103814.0,4002,0.028940374755859376,False,REGULAR,USD
SPXW250606C06025000,2025-06-06 19:59:25+00:00,6000.35986328125,16.770000457763672,6025.0,0.03,0.0,0.05,-2.17,-98.63636,72926.0,3452,0.035165898437499996,False,REGULAR,USD
SPXW250606C06030000,2025-06-06 19:58:45+00:00,6000.35986328125,16.770000457763672,6030.0,0.03,0.0,0.05,-1.9200001,-98.46153,64976.0,2688,0.04126935302734375,False,REGULAR,USD
SPXW250606C06035000,2025-06-06 19:59:42+00:00,6000.35986328125,16.770000457763672,6035.0,0.02,0.0,0.05,-1.59,-98.75777,43845.0,1188,0.04712866943359375,False,REGULAR,USD
SPXW250606C06040000,2025-06-06 19:59:42+00:00,6000.35986328125,16.770000457763672,6040.0,0.03,0.0,0.05,-1.22,-97.6,40843.0,1454,0.05323212402343751,False,REGULAR,USD
SPXW250606C06045000,2025-06-06 19:59:47+00:00,6000.35986328125,16.770000457763672,6045.0,0.05,0.0,0.05,-0.95,-95.0,32801.0,1092,0.058847302246093754,False,REGULAR,USD
SPXW250606C06050000,2025-06-06 19:59:17+00:00,6000.35986328125,16.770000457763672,6050.0,0.03,0.0,0.05,-0.82000005,-96.4706,45434.0,12768,0.06470661865234376,False,REGULAR,USD
