contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250414P05315000,2025-04-11 20:14:58+00:00,5363.35986328125,37.560001373291016,5315.0,47.9,46.6,48.3,-115.799995,-70.73916,315.0,172,0.4429224409484864,False,REGULAR,USD
SPXW250414P05320000,2025-04-11 20:09:41+00:00,5363.35986328125,37.560001373291016,5320.0,50.75,48.4,50.1,-77.0,-60.273975,467.0,169,0.4415186463928223,False,REGULAR,USD
SPXW250414P05325000,2025-04-11 20:13:40+00:00,5363.35986328125,37.560001373291016,5325.0,52.02,50.1,51.9,-78.33,-60.092056,371.0,362,0.4397639031982422,False,REGULAR,USD
SPXW250414P05330000,2025-04-11 20:13:40+00:00,5363.35986328125,37.560001373291016,5330.0,53.82,52.0,53.7,-83.4,-60.778313,968.0,59,0.43768872863769537,False,REGULAR,USD
SPXW250414P05340000,2025-04-11 20:12:57+00:00,5363.35986328125,37.560001373291016,5340.0,58.37,55.8,57.6,-75.03,-56.24438,304.0,79,0.43440049247741697,False,REGULAR,USD
SPXW250414P05345000,2025-04-11 20:14:51+00:00,5363.35986328125,37.560001373291016,5345.0,58.69,57.8,59.6,-122.20999,-67.55666,186.0,63,0.43254656814575193,False,REGULAR,USD
SPXW250414P05350000,2025-04-11 20:14:51+00:00,5363.35986328125,37.560001373291016,5350.0,60.64,59.9,61.7,-122.97,-66.97348,2080.0,948,0.4309749285888672,False,REGULAR,USD
SPXW250414P05355000,2025-04-11 20:13:39+00:00,5363.35986328125,37.560001373291016,5355.0,64.2,62.0,63.9,-72.2,-52.93255,362.0,32,0.4296779444885254,False,REGULAR,USD
SPXW250414P05360000,2025-04-11 20:14:44+00:00,5363.35986328125,37.560001373291016,5360.0,65.0,64.2,66.1,-86.100006,-56.98213,2209.0,905,0.428014753112793,False,REGULAR,USD
SPXW250414P05370000,2025-04-11 20:14:39+00:00,5363.35986328125,37.560001373291016,5370.0,69.8,68.8,70.7,-79.09999,-53.122894,145.0,235,0.42485621536254886,True,REGULAR,USD
SPXW250414P05375000,2025-04-11 20:14:33+00:00,5363.35986328125,37.560001373291016,5375.0,72.68,65.5,79.0,-81.12,-52.743824,270.0,410,0.4606377178955079,True,REGULAR,USD
SPXW250414P05380000,2025-04-11 20:13:07+00:00,5363.35986328125,37.560001373291016,5380.0,76.1,70.6,78.6,-76.00001,-49.967133,75.0,104,0.44109140457153323,True,REGULAR,USD
SPXW250414P05390000,2025-04-11 20:06:46+00:00,5363.35986328125,37.560001373291016,5390.0,80.15,75.7,84.0,-85.329994,-51.56514,45.0,115,0.4400995932006836,True,REGULAR,USD
SPXW250414P05395000,2025-04-11 20:08:10+00:00,5363.35986328125,37.560001373291016,5395.0,81.7,76.1,88.9,-61.47,-42.934975,40.0,36,0.45313046875,True,REGULAR,USD
SPXW250414P05400000,2025-04-11 20:13:55+00:00,5363.35986328125,37.560001373291016,5400.0,85.7,81.1,89.4,-82.600006,-49.07903,368.0,569,0.43765821136474614,True,REGULAR,USD
SPXW250414P05405000,2025-04-11 17:23:50+00:00,5363.35986328125,37.560001373291016,5405.0,99.1,81.3,94.8,-48.620003,-32.913624,6.0,30,0.45332883102416993,True,REGULAR,USD
SPXW250414P05410000,2025-04-11 19:58:57+00:00,5363.35986328125,37.560001373291016,5410.0,93.45,84.2,97.7,-143.59,-60.57627,12.0,53,0.4525811578369141,True,REGULAR,USD
