contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250501P05555000,2025-05-01 19:59:54+00:00,5604.14013671875,24.600000381469727,5555.0,0.05,0.0,0.05,-20.0,-99.750626,13454.0,176,0.06934524414062501,False,REGULAR,USD
SPXW250501P05560000,2025-05-01 19:57:48+00:00,5604.14013671875,24.600000381469727,5560.0,0.02,0.0,0.05,-21.18,-99.905655,21023.0,458,0.0629976513671875,False,REGULAR,USD
SPXW250501P05565000,2025-05-01 19:59:43+00:00,5604.14013671875,24.600000381469727,5565.0,0.05,0.0,0.05,-23.58,-99.78841,17445.0,342,0.056650058593750004,False,REGULAR,USD
SPXW250501P05570000,2025-05-01 19:59:04+00:00,5604.14013671875,24.600000381469727,5570.0,0.03,0.0,0.05,-25.47,-99.882355,24390.0,569,0.0503024658203125,False,REGULAR,USD
SPXW250501P05575000,2025-05-01 19:59:42+00:00,5604.14013671875,24.600000381469727,5575.0,0.03,0.0,0.05,-28.17,-99.893616,19962.0,311,0.043710734863281246,False,REGULAR,USD
SPXW250501P05580000,2025-05-01 19:59:53+00:00,5604.14013671875,24.600000381469727,5580.0,0.05,0.0,0.05,-30.25,-99.834984,28389.0,103,0.037119003906249996,False,REGULAR,USD
SPXW250501P05590000,2025-05-01 19:59:56+00:00,5604.14013671875,24.600000381469727,5590.0,0.05,0.0,0.05,-34.65,-99.85591,31427.0,177,0.023447265625,False,REGULAR,USD
SPXW250501P05600000,2025-05-01 19:59:59+00:00,5604.14013671875,24.600000381469727,5600.0,0.15,0.05,0.3,-38.219997,-99.60906,75631.0,296,0.013468117370605472,False,REGULAR,USD
SPXW250501P05610000,2025-05-01 19:59:59+00:00,5604.14013671875,24.600000381469727,5610.0,6.96,5.2,7.9,-36.74,-84.07323,50456.0,78,0.037225814361572254,True,REGULAR,USD
SPXW250501P05620000,2025-05-01 19:59:53+00:00,5604.14013671875,24.600000381469727,5620.0,16.0,15.7,18.7,-33.34,-67.57195,62524.0,72,0.0727479200744629,True,REGULAR,USD
SPXW250501P05625000,2025-05-01 19:59:58+00:00,5604.14013671875,24.600000381469727,5625.0,20.2,20.2,28.7,-35.219997,-63.551064,46250.0,201,0.13797859100341797,True,REGULAR,USD
SPXW250501P05630000,2025-05-01 19:59:59+00:00,5604.14013671875,24.600000381469727,5630.0,26.2,25.2,33.7,-32.29,-55.206017,40436.0,37,0.15238274383544925,True,REGULAR,USD
SPXW250501P05635000,2025-05-01 19:59:43+00:00,5604.14013671875,24.600000381469727,5635.0,35.8,25.0,38.7,-39.600002,-52.519897,31589.0,18,0.1662681030273438,True,REGULAR,USD
SPXW250501P05640000,2025-05-01 19:59:43+00:00,5604.14013671875,24.600000381469727,5640.0,40.0,30.0,43.7,-24.36,-37.849594,22426.0,84,0.17972622039794922,True,REGULAR,USD
SPXW250501P05645000,2025-05-01 19:59:33+00:00,5604.14013671875,24.600000381469727,5645.0,44.6,33.7,48.7,-78.62,-63.80458,11774.0,47,0.19281813049316404,True,REGULAR,USD
SPXW250501P05650000,2025-05-01 19:59:58+00:00,5604.14013671875,24.600000381469727,5650.0,45.4,38.7,53.7,-28.519997,-38.58225,14355.0,188,0.20557435058593748,True,REGULAR,USD
