contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250408P04950000,2025-04-08 19:59:50+00:00,4982.77001953125,52.33000183105469,4950.0,0.03,0.0,0.05,-32.56,-99.84668,33370,1917,0.054452814941406254,False,REGULAR,USD
SPXW250408P04970000,2025-04-08 19:59:57+00:00,4982.77001953125,52.33000183105469,4970.0,0.15,0.0,0.2,-36.35,-99.589035,11931,226,0.031137618408203126,False,REGULAR,USD
SPXW250408P04975000,2025-04-08 19:59:59+00:00,4982.77001953125,52.33000183105469,4975.0,0.05,0.0,0.2,-39.89,-99.87482,14927,3096,0.021188987426757816,False,REGULAR,USD
SPXW250408P04980000,2025-04-08 19:59:59+00:00,4982.77001953125,52.33000183105469,4980.0,1.0,0.05,1.0,-37.85,-97.425995,12868,174,0.020212434692382812,False,REGULAR,USD
SPXW250408P04990000,2025-04-08 19:59:59+00:00,4982.77001953125,52.33000183105469,4990.0,5.6,3.3,10.9,-38.350002,-87.258255,12579,189,0.06408101455688475,True,REGULAR,USD
SPXW250408P05000000,2025-04-08 19:59:48+00:00,4982.77001953125,52.33000183105469,5000.0,12.78,12.9,20.2,-33.22,-72.58029,46728,2444,0.08739621109008791,True,REGULAR,USD
SPXW250408P05010000,2025-04-08 19:59:38+00:00,4982.77001953125,52.33000183105469,5010.0,21.39,22.9,30.4,-24.670002,-49.667812,10941,159,0.11759305267333985,True,REGULAR,USD
SPXW250408P05020000,2025-04-08 19:59:50+00:00,4982.77001953125,52.33000183105469,5020.0,33.0,32.0,40.4,-16.970001,-33.960377,12940,1169,0.14331911376953127,True,REGULAR,USD
SPXW250408P05025000,2025-04-08 19:59:38+00:00,4982.77001953125,52.33000183105469,5025.0,35.5,37.0,42.1,-17.099998,-29.467516,8970,291,1.0000000000000003e-05,True,REGULAR,USD
SPXW250408P05030000,2025-04-08 19:58:59+00:00,4982.77001953125,52.33000183105469,5030.0,54.94,42.0,50.0,-0.10000229,-0.1816902,10080,316,0.1607444766235352,True,REGULAR,USD
