contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250710P06235000,2025-07-10 19:56:21+00:00,6280.4599609375,15.779999732971191,6235.0,0.03,0.0,0.05,-4.54,-98.910675,28517,1477,0.05762661132812501,False,REGULAR,USD
SPXW250710P06240000,2025-07-10 19:55:39+00:00,6280.4599609375,15.779999732971191,6240.0,0.03,0.0,0.05,-5.52,-99.45946,34176,1351,0.05201143310546875,False,REGULAR,USD
SPXW250710P06245000,2025-07-10 19:59:32+00:00,6280.4599609375,15.779999732971191,6245.0,0.03,0.0,0.05,-6.5699997,-99.545456,35055,1131,0.0463962548828125,False,REGULAR,USD
SPXW250710P06250000,2025-07-10 19:58:09+00:00,6280.4599609375,15.779999732971191,6250.0,0.03,0.0,0.05,-7.93,-99.623116,49231,1720,0.04053693847656249,False,REGULAR,USD
SPXW250710P06255000,2025-07-10 19:59:49+00:00,6280.4599609375,15.779999732971191,6255.0,0.03,0.0,0.05,-9.42,-99.68254,44169,1160,0.0346776220703125,False,REGULAR,USD
SPXW250710P06260000,2025-07-10 19:59:58+00:00,6280.4599609375,15.779999732971191,6260.0,0.05,0.0,0.05,-11.33,-99.56063,62645,1600,0.028696236572265627,False,REGULAR,USD
SPXW250710P06265000,2025-07-10 19:59:58+00:00,6280.4599609375,15.779999732971191,6265.0,0.05,0.0,0.05,-13.49,-99.63072,57897,1045,0.022592781982421876,False,REGULAR,USD
SPXW250710P06270000,2025-07-10 19:59:56+00:00,6280.4599609375,15.779999732971191,6270.0,0.02,0.0,0.05,-16.17,-99.69174,68933,245,0.016245189208984375,False,REGULAR,USD
SPXW250710P06275000,2025-07-10 19:59:57+00:00,6280.4599609375,15.779999732971191,6275.0,0.05,0.0,0.05,-18.960001,-99.736984,89462,616,0.009470354614257813,False,REGULAR,USD
SPXW250710P06280000,2025-07-10 19:59:58+00:00,6280.4599609375,15.779999732971191,6280.0,0.7,0.6,0.7,-21.48,-96.844,101802,389,0.006952679595947265,False,REGULAR,USD
SPXW250710P06285000,2025-07-10 19:59:58+00:00,6280.4599609375,15.779999732971191,6285.0,5.2,5.0,5.6,-20.43,-79.40148,64794,75,0.021005883789062506,True,REGULAR,USD
SPXW250710P06290000,2025-07-10 19:59:49+00:00,6280.4599609375,15.779999732971191,6290.0,12.0,9.6,10.6,-17.45,-60.048176,20226,71,0.032175205688476566,True,REGULAR,USD
SPXW250710P06295000,2025-07-10 19:59:12+00:00,6280.4599609375,15.779999732971191,6295.0,14.78,13.6,15.9,-18.7,-55.804237,6394,180,0.04603004760742188,True,REGULAR,USD
SPXW250710P06300000,2025-07-10 19:59:47+00:00,6280.4599609375,15.779999732971191,6300.0,21.4,18.0,21.1,-16.750002,-43.90564,6699,535,0.058511612243652346,True,REGULAR,USD
SPXW250710P06305000,2025-07-10 19:59:47+00:00,6280.4599609375,15.779999732971191,6305.0,26.5,24.0,25.9,-17.2,-39.35927,1378,107,0.06531696411132812,True,REGULAR,USD
SPXW250710P06310000,2025-07-10 19:55:02+00:00,6280.4599609375,15.779999732971191,6310.0,31.6,27.5,31.3,-16.199999,-34.77141,423,60,0.08036197967529299,True,REGULAR,USD
SPXW250710P06315000,2025-07-10 19:59:48+00:00,6280.4599609375,15.779999732971191,6315.0,36.7,33.3,35.9,-16.2,-30.62382,263,56,0.08323060333251955,True,REGULAR,USD
SPXW250710P06320000,2025-07-10 19:29:03+00:00,6280.4599609375,15.779999732971191,6320.0,44.36,37.3,40.9,-13.869999,-23.819336,205,52,0.09180595703125,True,REGULAR,USD
SPXW250710P06325000,2025-07-10 19:40:46+00:00,6280.4599609375,15.779999732971191,6325.0,38.44,42.3,49.0,-24.16,-38.59425,99,37,0.14411256286621094,True,REGULAR,USD
SPXW250710P06330000,2025-07-10 19:25:02+00:00,6280.4599609375,15.779999732971191,6330.0,46.12,48.0,51.5,-21.45,-31.744858,27,6,0.11936305450439452,True,REGULAR,USD
