contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250331C05565000,2025-03-31 19:59:20+00:00,5611.85009765625,22.280000686645508,5565.0,52.07,43.2,53.2,15.27,41.494568,40940.0,1484,0.19193312957763675,True,REGULAR,USD
SPXW250331C05570000,2025-03-31 19:59:30+00:00,5611.85009765625,22.280000686645508,5570.0,42.1,37.7,47.7,7.8499985,22.919704,34465.0,282,0.1735312139892578,True,REGULAR,USD
SPXW250331C05575000,2025-03-31 19:59:30+00:00,5611.85009765625,22.280000686645508,5575.0,38.7,32.9,42.9,6.9000015,21.698118,31373.0,1238,0.16329266891479494,True,REGULAR,USD
SPXW250331C05580000,2025-03-31 19:59:51+00:00,5611.85009765625,22.280000686645508,5580.0,26.5,27.6,36.4,-2.7999992,-9.556313,44636.0,632,0.13311108596801757,True,REGULAR,USD
SPXW250331C05585000,2025-03-31 19:59:41+00:00,5611.85009765625,22.280000686645508,5585.0,26.0,24.1,29.8,-0.95000076,-3.5250492,37348.0,762,0.10120527709960936,True,REGULAR,USD
SPXW250331C05590000,2025-03-31 19:59:54+00:00,5611.85009765625,22.280000686645508,5590.0,19.57,18.6,25.0,-5.2299995,-21.088707,51855.0,395,0.09156181884765624,True,REGULAR,USD
SPXW250331C05595000,2025-03-31 19:59:52+00:00,5611.85009765625,22.280000686645508,5595.0,13.45,14.9,20.0,-9.05,-40.22222,40945.0,374,0.07886663330078125,True,REGULAR,USD
SPXW250331C05600000,2025-03-31 19:59:58+00:00,5611.85009765625,22.280000686645508,5600.0,10.0,10.1,14.9,-10.299999,-50.73891,102435.0,4724,0.06440144592285156,True,REGULAR,USD
SPXW250331C05605000,2025-03-31 19:59:53+00:00,5611.85009765625,22.280000686645508,5605.0,7.8,5.1,8.7,-10.599999,-57.608696,47970.0,1023,0.038095556640625,True,REGULAR,USD
SPXW250331C05610000,2025-03-31 19:59:59+00:00,5611.85009765625,22.280000686645508,5610.0,2.0,2.0,2.4,-14.5,-87.878784,61663.0,920,0.01078259735107422,True,REGULAR,USD
SPXW250331C05615000,2025-03-31 19:59:59+00:00,5611.85009765625,22.280000686645508,5615.0,1.0,0.1,1.2,-14.0,-93.333336,44276.0,552,0.020990625152587896,False,REGULAR,USD
SPXW250331C05620000,2025-03-31 19:59:59+00:00,5611.85009765625,22.280000686645508,5620.0,0.1,0.05,0.15,-13.339999,-99.25594,59859.0,1542,0.01825932922363281,False,REGULAR,USD
SPXW250331C05625000,2025-03-31 19:59:58+00:00,5611.85009765625,22.280000686645508,5625.0,0.05,0.0,0.05,-11.92,-99.58228,46756.0,1750,0.021982436523437503,False,REGULAR,USD
SPXW250331C05630000,2025-03-31 19:59:59+00:00,5611.85009765625,22.280000686645508,5630.0,0.05,0.0,0.05,-10.55,-99.5283,49677.0,571,0.028818305664062502,False,REGULAR,USD
SPXW250331C05635000,2025-03-31 19:59:57+00:00,5611.85009765625,22.280000686645508,5635.0,0.03,0.0,0.05,-9.17,-99.67391,37077.0,468,0.035654174804687494,False,REGULAR,USD
SPXW250331C05640000,2025-03-31 19:59:47+00:00,5611.85009765625,22.280000686645508,5640.0,0.03,0.0,0.05,-8.27,-99.63856,42900.0,746,0.04224590576171875,False,REGULAR,USD
SPXW250331C05645000,2025-03-31 19:59:07+00:00,5611.85009765625,22.280000686645508,5645.0,0.05,0.0,0.05,-7.25,-99.31506,31388.0,720,0.04859349853515625,False,REGULAR,USD
SPXW250331C05650000,2025-03-31 19:59:03+00:00,5611.85009765625,22.280000686645508,5650.0,0.03,0.0,0.05,-6.47,-99.53846,68336.0,8257,0.05494109130859375,False,REGULAR,USD
SPXW250331C05655000,2025-03-31 19:58:24+00:00,5611.85009765625,22.280000686645508,5655.0,0.05,0.0,0.05,-5.5899997,-99.113464,29032.0,2443,0.06104454589843751,False,REGULAR,USD
SPXW250331C05660000,2025-03-31 19:59:33+00:00,5611.85009765625,22.280000686645508,5660.0,0.03,0.0,0.05,-4.97,-99.399994,39732.0,1370,0.06739213867187502,False,REGULAR,USD
