contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,date,option_type,filename
SPXW250626C06095000,2025-06-26 19:58:01+00:00,6141.02001953125,16.59000015258789,6095.0,49.48,44.0,47.9,36.379997,277.70987,3571.0,0.0,0.11524322265625,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06100000,2025-06-26 19:59:50+00:00,6141.02001953125,16.59000015258789,6100.0,37.8,39.0,42.9,27.199999,256.60376,7361.0,0.0,0.1060575234985351,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06105000,2025-06-26 19:58:28+00:00,6141.02001953125,16.59000015258789,6105.0,38.4,34.6,37.9,30.100002,362.65067,5728.0,0.0,0.0967192379760742,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06110000,2025-06-26 19:59:27+00:00,6141.02001953125,16.59000015258789,6110.0,33.0,29.7,32.9,26.5,407.69232,15770.0,0.0,0.0871368142700195,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06115000,2025-06-26 19:59:37+00:00,6141.02001953125,16.59000015258789,6115.0,26.49,24.0,27.9,21.39,419.41174,22911.0,0.0,0.0773102523803711,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06120000,2025-06-26 19:59:58+00:00,6141.02001953125,16.59000015258789,6120.0,20.9,19.2,22.9,17.0,435.8975,37030.0,0.0,0.067117483215332,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06125000,2025-06-26 19:59:59+00:00,6141.02001953125,16.59000015258789,6125.0,15.8,15.4,17.9,12.9,444.82748,50397.0,0.0,0.0564974722290039,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06130000,2025-06-26 19:59:59+00:00,6141.02001953125,16.59000015258789,6130.0,11.37,10.5,12.9,9.21,426.38892,79236.0,0.0,0.0452518571472168,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06135000,2025-06-26 19:59:58+00:00,6141.02001953125,16.59000015258789,6135.0,6.37,5.3,7.1,4.77,298.12503,96974.0,0.0,0.0252477847290039,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06140000,2025-06-26 19:59:59+00:00,6141.02001953125,16.59000015258789,6140.0,0.8,0.75,0.8,-0.31,-27.927927,174377.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06145000,2025-06-26 19:59:59+00:00,6141.02001953125,16.59000015258789,6145.0,0.05,0.0,0.05,-0.7,-93.333336,168035.0,0.0,0.0075172491455078,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06150000,2025-06-26 19:59:56+00:00,6141.02001953125,16.59000015258789,6150.0,0.03,0.0,0.05,-0.57000005,-95.0,138873.0,0.0,0.0145362219238281,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06155000,2025-06-26 19:59:41+00:00,6141.02001953125,16.59000015258789,6155.0,0.03,0.0,0.05,-0.35,-92.10526,62234.0,0.0,0.0211279528808593,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06160000,2025-06-26 19:59:47+00:00,6141.02001953125,16.59000015258789,6160.0,0.03,0.0,0.05,-0.27,-90.0,39590.0,0.0,0.0274755456542968,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
SPXW250626C06165000,2025-06-26 19:59:57+00:00,6141.02001953125,16.59000015258789,6165.0,0.03,0.0,0.05,-0.19,-86.36364,24086.0,0.0,0.0335790002441406,False,REGULAR,USD,2025-06-26,call,spx_0dte_calls_20250626_2055.csv
