date,spx_close,strike,option_type,last_price,bid,ask,volume,moneyness,moneyness_category,intrinsic_value,time_value,is_itm,itm_discount,spread_cost,bid_ask_spread,last_vs_mid,effective_liquidity_cost,market_maker_profit_per_contract
2025-08-27,6481.39990234375,6435.0,put,0.03,0.0,0.05,36563.0,-0.007158932181760803,ITM_Call/OTM_Put,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6440.0,put,0.03,0.0,0.05,54476.0,-0.0063874939006277505,ITM_Call/OTM_Put,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6445.0,put,0.03,0.0,0.05,41393.0,-0.005616055619494698,ITM_Call/OTM_Put,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6450.0,put,0.05,0.0,0.05,59865.0,-0.004844617338361644,ATM,0.0,0.05,False,0.0,0.025,0.05,-1.0,0.025,2.5
2025-08-27,6481.39990234375,6455.0,put,0.03,0.0,0.05,52185.0,-0.004073179057228591,ATM,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6460.0,put,0.03,0.0,0.05,81974.0,-0.0033017407760955386,ATM,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6465.0,put,0.03,0.0,0.05,90463.0,-0.0025303024949624854,ATM,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6470.0,put,0.03,0.0,0.05,121268.0,-0.0017588642138294324,ATM,0.0,0.03,False,0.0,0.025,0.05,-0.1999999999999999,0.025,2.5
2025-08-27,6481.39990234375,6475.0,put,0.05,0.0,0.05,129250.0,-0.0009874259326963794,ATM,0.0,0.05,False,0.0,0.025,0.05,-1.0,0.025,2.5
2025-08-27,6481.39990234375,6480.0,put,0.1,0.0,0.1,126794.0,-0.00021598765156332646,ATM,0.0,0.1,False,0.0,0.05,0.1,-1.0,0.05,5.0
2025-08-27,6481.39990234375,6485.0,put,2.85,2.85,3.0,74980.0,0.0005554506295697265,ATM,3.60009765625,-0.7500976562499999,True,0.7500976562499999,0.07499999999999996,0.1499999999999999,0.02564102564102555,0.8250976562499999,82.50976562499999
2025-08-27,6481.39990234375,6490.0,put,7.5,7.8,9.0,16959.0,0.0013268889107027795,ATM,8.60009765625,-1.10009765625,True,1.10009765625,0.6000000000000001,1.2000000000000002,0.10714285714285718,1.70009765625,170.009765625
2025-08-27,6481.39990234375,6495.0,put,12.0,12.3,14.7,3433.0,0.0020983271918358325,ATM,13.60009765625,-1.60009765625,True,1.60009765625,1.1999999999999993,2.3999999999999986,0.1111111111111111,2.8000976562499993,280.00976562499994
2025-08-27,6481.39990234375,6500.0,put,17.2,17.5,20.0,5148.0,0.0028697654729688857,ATM,18.60009765625,-1.4000976562500007,True,1.4000976562500007,1.25,2.5,0.08266666666666671,2.6500976562500007,265.00976562500006
2025-08-27,6481.39990234375,6505.0,put,22.1,22.1,24.8,1255.0,0.0036412037541019384,ATM,23.60009765625,-1.5000976562499986,True,1.5000976562499986,1.3499999999999996,2.6999999999999993,0.05756929637526658,2.8500976562499982,285.00976562499983
2025-08-27,6481.39990234375,6510.0,put,26.9,27.1,32.0,436.0,0.004412642035234992,ATM,28.60009765625,-1.7000976562500014,True,1.7000976562500014,2.4499999999999993,4.899999999999999,0.08967851099830802,4.150097656250001,415.00976562500006
2025-08-27,6481.39990234375,6515.0,put,31.9,32.0,35.0,356.0,0.005184080316368044,OTM_Call/ITM_Put,33.60009765625,-1.7000976562500014,True,1.7000976562500014,1.5,3.0,0.04776119402985079,3.2000976562500014,320.0097656250001
2025-08-27,6481.39990234375,6520.0,put,36.23,36.8,41.7,67.0,0.005955518597501097,OTM_Call/ITM_Put,38.60009765625,-2.370097656250003,True,2.370097656250003,2.450000000000003,4.900000000000006,0.07694267515923575,4.820097656250006,482.00976562500057
2025-08-27,6481.39990234375,6525.0,put,40.07,41.8,46.7,43.0,0.006726956878634151,OTM_Call/ITM_Put,43.60009765625,-3.5300976562499997,True,3.5300976562499997,2.450000000000003,4.900000000000006,0.09446327683615818,5.980097656250003,598.0097656250002
2025-08-27,6481.39990234375,6530.0,put,44.5,46.8,51.7,45.0,0.0074983951597672035,OTM_Call/ITM_Put,48.60009765625,-4.10009765625,True,4.10009765625,2.450000000000003,4.900000000000006,0.09644670050761421,6.550097656250003,655.0097656250002
2025-06-26,6141.02001953125,6095.0,call,49.48,44.0,47.9,3571.0,-0.007493872253287777,ITM_Call/OTM_Put,46.02001953125,3.459980468749997,True,0.0,1.9499999999999993,3.8999999999999986,-0.07682263329706189,1.9499999999999993,194.99999999999994
2025-06-26,6141.02001953125,6100.0,call,37.8,39.0,42.9,7361.0,-0.006679675265800729,ITM_Call/OTM_Put,41.02001953125,-3.220019531250003,True,3.220019531250003,1.9499999999999993,3.8999999999999986,0.07692307692307705,5.170019531250002,517.0019531250002
2025-06-26,6141.02001953125,6105.0,call,38.4,34.6,37.9,5728.0,-0.005865478278313681,ITM_Call/OTM_Put,36.02001953125,2.3799804687499986,True,0.0,1.6499999999999986,3.299999999999997,-0.05931034482758617,1.6499999999999986,164.99999999999986
