contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250505P05640000,2025-05-02 20:14:30+00:00,5686.669921875,22.68000030517578,5640.0,11.2,10.6,11.0,-68.94,-86.02446,2305.0,146.0,0.17012853805541994,False,REGULAR,USD
SPXW250505P05645000,2025-05-02 20:14:47+00:00,5686.669921875,22.68000030517578,5645.0,11.83,11.5,12.0,11.83,,1483.0,94.0,0.1676413803100586,False,REGULAR,USD
SPXW250505P05650000,2025-05-02 20:14:47+00:00,5686.669921875,22.68000030517578,5650.0,12.98,12.6,13.0,-75.020004,-85.25,5376.0,265.0,0.16452098915100097,False,REGULAR,USD
SPXW250505P05655000,2025-05-02 20:14:05+00:00,5686.669921875,22.68000030517578,5655.0,14.3,13.8,14.2,14.3,,1756.0,54.0,0.16211775390625,False,REGULAR,USD
SPXW250505P05660000,2025-05-02 20:14:29+00:00,5686.669921875,22.68000030517578,5660.0,15.9,15.1,15.5,-49.769997,-75.788025,2176.0,65.0,0.15964585479736326,False,REGULAR,USD
SPXW250505P05665000,2025-05-02 20:11:29+00:00,5686.669921875,22.68000030517578,5665.0,16.68,16.5,17.0,16.68,,1592.0,34.0,0.1577156372833252,False,REGULAR,USD
SPXW250505P05670000,2025-05-02 20:14:52+00:00,5686.669921875,22.68000030517578,5670.0,18.15,18.1,18.5,-81.71,-81.824554,2147.0,124.0,0.15499197067260745,False,REGULAR,USD
SPXW250505P05675000,2025-05-02 20:14:53+00:00,5686.669921875,22.68000030517578,5675.0,19.8,19.8,20.2,-83.740005,-80.87695,1593.0,70.0,0.15268791656494146,False,REGULAR,USD
SPXW250505P05680000,2025-05-02 20:14:08+00:00,5686.669921875,22.68000030517578,5680.0,22.5,21.7,22.1,-60.800003,-72.9892,1652.0,30.0,0.15071955245971685,False,REGULAR,USD
SPXW250505P05685000,2025-05-02 20:14:29+00:00,5686.669921875,22.68000030517578,5685.0,24.8,23.7,24.1,24.8,,2454.0,24.0,0.1484612742614746,False,REGULAR,USD
SPXW250505P05690000,2025-05-02 20:13:58+00:00,5686.669921875,22.68000030517578,5690.0,26.27,25.9,26.3,-66.33,-71.63067,3349.0,48.0,0.14644713424682615,True,REGULAR,USD
SPXW250505P05695000,2025-05-02 20:08:42+00:00,5686.669921875,22.68000030517578,5695.0,26.18,28.3,28.7,26.18,,1311.0,18.0,0.14465424446105957,True,REGULAR,USD
SPXW250505P05700000,2025-05-02 20:14:52+00:00,5686.669921875,22.68000030517578,5700.0,30.8,30.7,31.3,-94.869995,-75.49136,2526.0,56.0,0.1430520876312256,True,REGULAR,USD
SPXW250505P05705000,2025-05-02 20:14:45+00:00,5686.669921875,22.68000030517578,5705.0,34.2,33.4,34.0,34.2,,418.0,13.0,0.14101505966186523,True,REGULAR,USD
SPXW250505P05710000,2025-05-02 20:09:12+00:00,5686.669921875,22.68000030517578,5710.0,34.44,36.3,36.9,-54.360004,-61.216217,494.0,35.0,0.1391229887390137,True,REGULAR,USD
SPXW250505P05715000,2025-05-02 20:00:04+00:00,5686.669921875,22.68000030517578,5715.0,42.9,39.4,40.0,42.9,,1183.0,3.0,0.13738350418090822,True,REGULAR,USD
SPXW250505P05720000,2025-05-02 19:49:09+00:00,5686.669921875,22.68000030517578,5720.0,50.0,42.7,43.2,-56.9,-53.227318,224.0,22.0,0.13514048461914066,True,REGULAR,USD
SPXW250505P05725000,2025-05-02 20:05:00+00:00,5686.669921875,22.68000030517578,5725.0,44.96,43.1,49.9,-148.14001,-76.716736,134.0,6.0,0.156884041595459,True,REGULAR,USD
SPXW250505P05730000,2025-05-02 20:12:43+00:00,5686.669921875,22.68000030517578,5730.0,49.7,46.7,53.5,49.7,,113.0,14.0,0.15639576522827148,True,REGULAR,USD
SPXW250505P05735000,2025-05-02 20:02:13+00:00,5686.669921875,22.68000030517578,5735.0,54.88,50.5,57.3,54.88,,72.0,3.0,0.15648731704711916,True,REGULAR,USD
