contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250421C05235000,2025-04-17 20:14:17+00:00,5282.7001953125,29.649999618530273,5235.0,74.01,75.7,84.9,0.0,0.0,79.0,30,0.37317521362304684,True,REGULAR,USD
SPXW250421C05240000,2025-04-17 20:06:31+00:00,5282.7001953125,29.649999618530273,5240.0,68.6,75.9,76.7,0.0,0.0,111.0,69,0.3386449192810058,True,REGULAR,USD
SPXW250421C05245000,2025-04-17 20:10:57+00:00,5282.7001953125,29.649999618530273,5245.0,64.81,72.2,73.0,0.0,0.0,108.0,58,0.33444879425048823,True,REGULAR,USD
SPXW250421C05250000,2025-04-17 20:10:14+00:00,5282.7001953125,29.649999618530273,5250.0,64.32,68.5,69.4,0.0,0.0,536.0,325,0.33052732467651363,True,REGULAR,USD
SPXW250421C05255000,2025-04-17 20:13:59+00:00,5282.7001953125,29.649999618530273,5255.0,60.32,65.0,65.8,0.0,0.0,94.0,97,0.32617861328125,True,REGULAR,USD
SPXW250421C05260000,2025-04-17 20:14:52+00:00,5282.7001953125,29.649999618530273,5260.0,60.38,61.5,62.3,0.0,0.0,445.0,233,0.3220587814331054,True,REGULAR,USD
SPXW250421C05265000,2025-04-17 20:14:52+00:00,5282.7001953125,29.649999618530273,5265.0,57.01,58.0,59.0,0.0,0.0,260.0,51,0.31878580390930167,True,REGULAR,USD
SPXW250421C05270000,2025-04-17 20:08:33+00:00,5282.7001953125,29.649999618530273,5270.0,54.09,54.8,55.6,0.0,0.0,434.0,112,0.31439894592285156,True,REGULAR,USD
SPXW250421C05275000,2025-04-17 20:05:57+00:00,5282.7001953125,29.649999618530273,5275.0,48.9,51.6,52.4,0.0,0.0,719.0,90,0.31081316635131834,True,REGULAR,USD
SPXW250421C05280000,2025-04-17 20:14:02+00:00,5282.7001953125,29.649999618530273,5280.0,44.7,48.5,49.3,0.0,0.0,561.0,140,0.3073647145080566,True,REGULAR,USD
SPXW250421C05285000,2025-04-17 20:14:31+00:00,5282.7001953125,29.649999618530273,5285.0,40.95,45.4,46.3,0.0,0.0,641.0,47,0.30403833175659173,False,REGULAR,USD
SPXW250421C05290000,2025-04-17 20:13:51+00:00,5282.7001953125,29.649999618530273,5290.0,38.9,42.5,43.3,0.0,0.0,982.0,64,0.30016263809204097,False,REGULAR,USD
SPXW250421C05295000,2025-04-17 20:14:52+00:00,5282.7001953125,29.649999618530273,5295.0,38.61,39.7,40.5,0.0,0.0,806.0,66,0.2970193589782714,False,REGULAR,USD
SPXW250421C05300000,2025-04-17 20:14:52+00:00,5282.7001953125,29.649999618530273,5300.0,35.89,37.0,37.8,0.0,0.0,4174.0,503,0.29395237304687494,False,REGULAR,USD
SPXW250421C05305000,2025-04-17 20:14:31+00:00,5282.7001953125,29.649999618530273,5305.0,30.6,34.5,35.2,0.0,0.0,1033.0,166,0.2909311630249023,False,REGULAR,USD
SPXW250421C05310000,2025-04-17 20:14:48+00:00,5282.7001953125,29.649999618530273,5310.0,30.8,32.1,32.7,0.0,0.0,1348.0,79,0.2879633582305907,False,REGULAR,USD
SPXW250421C05315000,2025-04-17 20:14:40+00:00,5282.7001953125,29.649999618530273,5315.0,27.57,29.7,30.4,0.0,0.0,1003.0,93,0.2856974507141113,False,REGULAR,USD
SPXW250421C05320000,2025-04-17 20:14:45+00:00,5282.7001953125,29.649999618530273,5320.0,25.7,27.4,28.1,0.0,0.0,1714.0,110,0.28279830978393555,False,REGULAR,USD
SPXW250421C05325000,2025-04-17 20:14:40+00:00,5282.7001953125,29.649999618530273,5325.0,23.37,25.3,26.0,0.0,0.0,1650.0,274,0.2806010661315917,False,REGULAR,USD
SPXW250421C05330000,2025-04-17 20:14:48+00:00,5282.7001953125,29.649999618530273,5330.0,22.1,23.3,24.0,0.0,0.0,1026.0,175,0.2784343397521973,False,REGULAR,USD
