contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250527P05755000,2025-05-23 20:14:37+00:00,5802.81982421875,22.290000915527344,5755.0,14.6,14.0,14.4,5.700001,64.04495,1046.0,220,0.15757830955505372,False,REGULAR,USD
SPXW250527P05760000,2025-05-23 20:14:23+00:00,5802.81982421875,22.290000915527344,5760.0,16.03,15.2,15.6,6.4300003,66.97917,1433.0,304,0.15609822181701663,False,REGULAR,USD
SPXW250527P05765000,2025-05-23 20:13:35+00:00,5802.81982421875,22.290000915527344,5765.0,17.9,16.5,16.9,7.5,72.11539,892.0,323,0.15467153930664065,False,REGULAR,USD
SPXW250527P05770000,2025-05-23 20:14:16+00:00,5802.81982421875,22.290000915527344,5770.0,18.95,17.9,18.3,7.550001,66.22808,2645.0,589,0.1532677447509766,False,REGULAR,USD
SPXW250527P05775000,2025-05-23 20:14:55+00:00,5802.81982421875,22.290000915527344,5775.0,20.12,19.4,19.8,7.8200006,63.57724,1689.0,695,0.1518563208770752,False,REGULAR,USD
SPXW250527P05780000,2025-05-23 20:13:53+00:00,5802.81982421875,22.290000915527344,5780.0,22.8,21.0,21.4,9.129999,66.78858,2833.0,448,0.15041437973022465,False,REGULAR,USD
SPXW250527P05785000,2025-05-23 20:13:44+00:00,5802.81982421875,22.290000915527344,5785.0,24.38,22.7,23.2,10.079999,70.4895,1460.0,142,0.1494073097229004,False,REGULAR,USD
SPXW250527P05790000,2025-05-23 20:14:52+00:00,5802.81982421875,22.290000915527344,5790.0,25.6,24.6,25.0,10.200001,66.23377,2321.0,610,0.14782804084777834,False,REGULAR,USD
SPXW250527P05795000,2025-05-23 20:14:50+00:00,5802.81982421875,22.290000915527344,5795.0,27.82,26.6,27.0,11.119999,66.586815,1752.0,154,0.14663023788452145,False,REGULAR,USD
SPXW250527P05800000,2025-05-23 20:14:56+00:00,5802.81982421875,22.290000915527344,5800.0,29.72,28.7,29.1,11.32,61.52174,7013.0,5343,0.1453179951477051,False,REGULAR,USD
SPXW250527P05805000,2025-05-23 20:14:57+00:00,5802.81982421875,22.290000915527344,5805.0,32.28,30.7,31.4,13.349998,70.52297,1410.0,223,0.14434144241333008,True,REGULAR,USD
SPXW250527P05810000,2025-05-23 20:14:58+00:00,5802.81982421875,22.290000915527344,5810.0,34.6,33.1,33.8,13.699999,65.55024,1353.0,2067,0.14321230331420898,True,REGULAR,USD
SPXW250527P05815000,2025-05-23 20:13:36+00:00,5802.81982421875,22.290000915527344,5815.0,38.77,35.6,36.4,16.37,73.08036,1468.0,136,0.1424035955810547,True,REGULAR,USD
SPXW250527P05820000,2025-05-23 20:14:52+00:00,5802.81982421875,22.290000915527344,5820.0,40.2,38.3,39.1,16.300001,68.20084,2016.0,1039,0.1414270428466797,True,REGULAR,USD
SPXW250527P05825000,2025-05-23 20:14:55+00:00,5802.81982421875,22.290000915527344,5825.0,43.14,41.2,42.0,17.24,66.563705,1290.0,3482,0.14077092147827147,True,REGULAR,USD
SPXW250527P05830000,2025-05-23 20:08:36+00:00,5802.81982421875,22.290000915527344,5830.0,47.71,44.2,45.0,20.07,72.61215,778.0,211,0.13993932579040527,True,REGULAR,USD
SPXW250527P05835000,2025-05-23 20:07:05+00:00,5802.81982421875,22.290000915527344,5835.0,50.45,47.4,48.2,21.050001,71.59864,282.0,133,0.13945867874145512,True,REGULAR,USD
SPXW250527P05840000,2025-05-23 20:14:55+00:00,5802.81982421875,22.290000915527344,5840.0,52.96,48.8,52.9,20.86,64.98443,927.0,385,0.1463326944732666,True,REGULAR,USD
SPXW250527P05845000,2025-05-23 20:12:04+00:00,5802.81982421875,22.290000915527344,5845.0,58.72,52.2,56.4,24.300003,70.5985,932.0,544,0.1463708410644531,True,REGULAR,USD
SPXW250527P05850000,2025-05-23 20:12:04+00:00,5802.81982421875,22.290000915527344,5850.0,62.42,55.7,60.0,25.96,71.20132,1164.0,2094,0.14635558242797853,True,REGULAR,USD
