contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250611P05975000,2025-06-11 19:59:50+00:00,6022.240234375,17.260000228881836,5975.0,0.05,0.0,0.05,-6.21,-99.20127,46617.0,2301,0.06226523681640626,False,REGULAR,USD
SPXW250611P05980000,2025-06-11 19:58:31+00:00,6022.240234375,17.260000228881836,5980.0,0.03,0.0,0.05,-7.08,-99.57806,44597.0,1300,0.056405920410156254,False,REGULAR,USD
SPXW250611P05985000,2025-06-11 19:58:41+00:00,6022.240234375,17.260000228881836,5985.0,0.05,0.0,0.05,-7.85,-99.36709,39808.0,588,0.0503024658203125,False,REGULAR,USD
SPXW250611P05990000,2025-06-11 19:59:20+00:00,6022.240234375,17.260000228881836,5990.0,0.03,0.0,0.05,-8.93,-99.66518,63064.0,856,0.044443149414062494,False,REGULAR,USD
SPXW250611P05995000,2025-06-11 19:59:41+00:00,6022.240234375,17.260000228881836,5995.0,0.03,0.0,0.05,-9.95,-99.6994,54493.0,732,0.03833969482421875,False,REGULAR,USD
SPXW250611P06000000,2025-06-11 19:59:41+00:00,6022.240234375,17.260000228881836,6000.0,0.03,0.0,0.05,-11.070001,-99.72974,125401.0,3174,0.032236240234375005,False,REGULAR,USD
SPXW250611P06005000,2025-06-11 19:59:54+00:00,6022.240234375,17.260000228881836,6005.0,0.03,0.0,0.05,-12.37,-99.758064,67741.0,617,0.025888647460937497,False,REGULAR,USD
SPXW250611P06010000,2025-06-11 19:59:52+00:00,6022.240234375,17.260000228881836,6010.0,0.03,0.0,0.05,-13.87,-99.78417,96011.0,817,0.019296916503906254,False,REGULAR,USD
SPXW250611P06015000,2025-06-11 19:59:54+00:00,6022.240234375,17.260000228881836,6015.0,0.03,0.0,0.05,-15.47,-99.80645,81858.0,1030,0.012461047363281252,False,REGULAR,USD
SPXW250611P06020000,2025-06-11 19:59:58+00:00,6022.240234375,17.260000228881836,6020.0,0.05,0.0,0.1,-17.150002,-99.709305,93785.0,581,0.005838799133300781,False,REGULAR,USD
SPXW250611P06025000,2025-06-11 19:59:59+00:00,6022.240234375,17.260000228881836,6025.0,2.3,2.4,4.1,-16.800001,-87.95812,72376.0,805,0.019724158325195314,True,REGULAR,USD
SPXW250611P06030000,2025-06-11 19:59:57+00:00,6022.240234375,17.260000228881836,6030.0,6.6,6.8,7.3,-14.6,-68.86792,81279.0,780,1.0000000000000003e-05,True,REGULAR,USD
SPXW250611P06035000,2025-06-11 19:59:55+00:00,6022.240234375,17.260000228881836,6035.0,12.9,12.0,13.4,-10.65,-45.22293,58844.0,573,0.03443348388671875,True,REGULAR,USD
SPXW250611P06040000,2025-06-11 19:59:57+00:00,6022.240234375,17.260000228881836,6040.0,18.4,16.6,19.1,-7.630001,-29.312336,64302.0,469,0.054422297668457034,True,REGULAR,USD
SPXW250611P06045000,2025-06-11 19:59:57+00:00,6022.240234375,17.260000228881836,6045.0,21.3,20.7,24.3,-6.7800007,-24.145302,46580.0,193,0.06727006958007814,True,REGULAR,USD
SPXW250611P06050000,2025-06-11 19:59:58+00:00,6022.240234375,17.260000228881836,6050.0,27.29,25.6,29.3,-3.6899986,-11.910907,42917.0,346,0.07706611419677736,True,REGULAR,USD
SPXW250611P06055000,2025-06-11 19:59:57+00:00,6022.240234375,17.260000228881836,6055.0,31.6,30.7,34.3,-1.3999996,-4.2424235,21422.0,258,0.08652646881103516,True,REGULAR,USD
SPXW250611P06060000,2025-06-11 19:59:58+00:00,6022.240234375,17.260000228881836,6060.0,37.13,35.7,39.3,-0.61999893,-1.6423813,9865.0,115,0.09577320251464845,True,REGULAR,USD
SPXW250611P06065000,2025-06-11 19:59:31+00:00,6022.240234375,17.260000228881836,6065.0,42.33,40.6,44.3,3.8300018,9.948057,3855.0,141,0.10480631530761718,True,REGULAR,USD
SPXW250611P06070000,2025-06-11 19:56:43+00:00,6022.240234375,17.260000228881836,6070.0,48.0,45.6,49.0,3.0,6.6666665,2619.0,250,0.10761390441894532,True,REGULAR,USD
