contractSymbol,lastTradeDate,spx_close,vix_close,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250527C05755000,2025-05-23 20:08:49+00:00,5802.81982421875,22.290000915527344,5755.0,57.64,57.6,64.5,-58.4,-50.327473,101.0,33,0.14747709220886232,True,REGULAR,USD
SPXW250527C05760000,2025-05-23 20:12:55+00:00,5802.81982421875,22.290000915527344,5760.0,53.52,55.5,58.7,-72.58,-57.557495,69.0,54,0.13649087394714357,True,REGULAR,USD
SPXW250527C05765000,2025-05-23 20:12:55+00:00,5802.81982421875,22.290000915527344,5765.0,49.97,53.0,53.8,-46.43,-48.1639,81.0,44,0.12966263412475587,True,REGULAR,USD
SPXW250527C05770000,2025-05-23 20:14:26+00:00,5802.81982421875,22.290000915527344,5770.0,46.93,49.4,50.2,-68.23,-59.248005,176.0,53,0.12855638298034666,True,REGULAR,USD
SPXW250527C05775000,2025-05-23 20:07:47+00:00,5802.81982421875,22.290000915527344,5775.0,43.25,45.9,46.7,-36.949997,-46.072315,518.0,66,0.1274348731994629,True,REGULAR,USD
SPXW250527C05780000,2025-05-23 20:07:55+00:00,5802.81982421875,22.290000915527344,5780.0,40.15,42.6,43.3,-61.760002,-60.602493,649.0,72,0.12626758750915526,True,REGULAR,USD
SPXW250527C05785000,2025-05-23 20:07:18+00:00,5802.81982421875,22.290000915527344,5785.0,37.3,39.3,40.0,-52.539997,-58.481747,693.0,19,0.12503926727294923,True,REGULAR,USD
SPXW250527C05790000,2025-05-23 20:14:22+00:00,5802.81982421875,22.290000915527344,5790.0,33.84,36.1,36.9,-52.31,-60.719673,934.0,82,0.12414663703918458,True,REGULAR,USD
SPXW250527C05795000,2025-05-23 20:06:40+00:00,5802.81982421875,22.290000915527344,5795.0,31.0,33.1,33.9,-38.5,-55.39568,1018.0,15,0.12314719635009766,True,REGULAR,USD
SPXW250527C05800000,2025-05-23 20:14:51+00:00,5802.81982421875,22.290000915527344,5800.0,28.95,30.3,31.0,-37.41,-56.374325,4485.0,610,0.12202568656921386,True,REGULAR,USD
SPXW250527C05805000,2025-05-23 20:14:57+00:00,5802.81982421875,22.290000915527344,5805.0,26.32,27.7,28.2,-35.05,-57.1126,925.0,8,0.12077447837829591,False,REGULAR,USD
SPXW250527C05810000,2025-05-23 20:14:58+00:00,5802.81982421875,22.290000915527344,5810.0,23.9,25.1,25.6,-43.229996,-64.39744,1820.0,40,0.11978266700744628,False,REGULAR,USD
SPXW250527C05815000,2025-05-23 20:14:19+00:00,5802.81982421875,22.290000915527344,5815.0,20.93,22.7,23.1,-34.27,-62.083332,1438.0,47,0.11862301063537598,False,REGULAR,USD
SPXW250527C05820000,2025-05-23 20:14:52+00:00,5802.81982421875,22.290000915527344,5820.0,19.15,20.4,20.8,-52.089996,-73.11903,2642.0,69,0.11771512176513671,False,REGULAR,USD
SPXW250527C05825000,2025-05-23 20:14:22+00:00,5802.81982421875,22.290000915527344,5825.0,16.8,18.2,18.7,-44.5,-72.5938,2719.0,293,0.1170513710784912,False,REGULAR,USD
SPXW250527C05830000,2025-05-23 20:14:59+00:00,5802.81982421875,22.290000915527344,5830.0,15.2,16.2,16.7,-26.7,-63.72315,1683.0,50,0.116219775390625,False,REGULAR,USD
SPXW250527C05835000,2025-05-23 20:13:28+00:00,5802.81982421875,22.290000915527344,5835.0,13.0,14.4,14.8,-29.5,-69.411766,1294.0,80,0.11519744674682617,False,REGULAR,USD
SPXW250527C05840000,2025-05-23 20:14:17+00:00,5802.81982421875,22.290000915527344,5840.0,11.7,12.8,13.1,-26.8,-69.61039,2869.0,289,0.11444977355957033,False,REGULAR,USD
SPXW250527C05845000,2025-05-23 20:14:57+00:00,5802.81982421875,22.290000915527344,5845.0,10.4,11.2,11.6,-25.500002,-71.03064,1465.0,203,0.11403016105651856,False,REGULAR,USD
SPXW250527C05850000,2025-05-23 20:14:56+00:00,5802.81982421875,22.290000915527344,5850.0,9.2,9.9,10.2,-23.969997,-72.26409,6213.0,334,0.1134732208251953,False,REGULAR,USD
